idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score
0, 27 million,27 million,0.14482903480529785,17.709829330444336,1.0000001192092896
1, Lynx is a text-based web browser.,text based web browser,0.26063060760498047,18.762737035751343,0.6711759567260742
2," The phrase ""king of the Germans"" was first used by the chancery of Pope Gregory VII in the late 11th century to describe the future Holy Roman Emperor of the German Nation, Henry IV.","chancery of Pope Gregory VII,",0.13111066818237305,25.100879669189453,0.4935724139213562
3, The city management and urban policy program was ranked first in the nation.,city management and urban policy,0.12508869171142578,19.706528425216675,0.6329970955848694
4, Chest pain or discomfort.,Chest pain,0.12651777267456055,18.000858068466187,0.9300103187561035
5, 30,30,0.12524890899658203,17.450085163116455,1.0000001192092896
6, Germans,Auswanderer,0.11666202545166016,17.354782819747925,0.3629310429096222
7," Yes, Canada is officially bilingual, with English and French as its two official languages.",United States never developed bilingualism as Canada did.,0.12602710723876953,20.41088318824768,0.5988942384719849
8," The Salvadoran Civil War in the 1980s, and economic and political problems.",the economic collapse of the country many more Nicaraguans migrated to the United States amongst other countries.,0.13333868980407715,20.475400924682617,0.39531683921813965
9," The English-speaking American settlers entering the Southwest established their language, culture, and law as dominant, to the extent it fully displaced Spanish in the public sphere.",the convention's English-speaking participants felt that the state's remaining minority of Spanish-speakers should simply learn English,0.13295674324035645,23.056087493896484,0.5843213796615601
10, 2.4%,2.4,0.1285398006439209,18.12421941757202,0.6556990146636963
11, World War II,World War II,0.1371469497680664,17.62164831161499,1.0
12, 1836,"A large influx of Americans soon followed, originally with the approval of Mexico's president. In 1836",0.13732504844665527,17.684262990951538,0.5141712427139282
13, 1888,1888,0.12409234046936035,17.610175371170044,1.0
14, The Marine Accident Investigation Branch of the Department for Transport has its headquarters in Southampton.,Marine Accident Investigation Branch,0.12488985061645508,20.252965927124023,0.774579644203186
15, The Thirty Years' War was primarily fought in what is now Germany.,Germany,0.1377277374267578,19.79244112968445,0.3612554371356964
16, Hampshire,Hampshire,0.1380605697631836,17.23089098930359,1.0
17, 1923,1923,0.1289527416229248,17.595898866653442,1.0
18, Student Union Activities,Student Union Activities,0.1336967945098877,17.63854193687439,1.0
19, Dr. Alan Whitehead (Labour),Dr. Alan Whitehead,0.13225889205932617,18.597423315048218,0.8765349984169006
20, Most MIs occur due to coronary artery disease.,coronary artery disease,0.12829947471618652,18.978622913360596,0.5302587151527405
21, 2007,2007,0.14436721801757812,17.72775673866272,1.0000001192092896
22, 5,5,0.1373898983001709,17.43991708755493,1.0
23," The first reform concerning the calendar was the Julian calendar, introduced by Julius Caesar in 45 BC.",Julian calendar,0.13547825813293457,21.04235076904297,0.5774136781692505
24, They generally made a compromise so that both churches could celebrate on the same day.,compromise,0.13110566139221191,19.970734119415283,0.31047242879867554
25," No, the Hanseatic League was not exclusively German, as it included towns from other ethnicities and languages.",The Hanseatic League was not exclusively German,0.12930631637573242,21.529460668563843,0.8926281929016113
26," Yes, the plays at Eton College have high attendance rates, with the School Plays often being fully booked every night.",fully booked every night,0.1291031837463379,21.617546796798706,0.38177764415740967
27, HRH The Duchess of Cornwall,HRH The Duchess of Cornwall,0.13994479179382324,18.207879781723022,1.0
28, 30.3%,30.3,0.12997221946716309,17.994570016860962,0.7069361209869385
29, The Rhine.,12 BC,0.12140774726867676,17.778530836105347,0.2451634556055069
30, Oppidan Scholarships are awarded to boys who have either three distinctions in a row or four throughout their career.,consistently performing with distinction in School and external examinations,0.12171697616577148,21.35753607749939,0.29010045528411865
31, The Election Chamber.,"Parlour, Election Hall, and Election Chamber",0.13384342193603516,17.79928159713745,0.74503093957901
32, Royal Caribbean.,Royal Caribbean,0.13518762588500977,17.55766010284424,0.9739327430725098
33, Tobacco.,tobacco,0.13848614692687988,17.5214900970459,0.9471733570098877
34, 2014,2014,0.14144372940063477,17.692785501480103,1.0
35," The name ""King's Scholars"" is because the school was founded by King Henry VI in 1440.",the school was founded by King Henry VI,0.12059831619262695,21.259104251861572,0.7311661839485168
36, The Battle of Königgrätz.,(Battle of Königgrätz,0.15085101127624512,18.750211238861084,0.934846043586731
37," ""Pop-Tanning""","""Pop-Tanning""",0.13796424865722656,17.993549346923828,1.0
38, 21 March.,21 March,0.14040803909301758,17.850430965423584,0.9650287628173828
39, 1891,1891,0.1423196792602539,17.64698314666748,1.0
40, The Southern Railway Company.,Southern Railway Company,0.12688779830932617,17.988657236099243,0.975673258304596
41, Roxbury Latin School,Roxbury Latin School,0.1417074203491211,17.80295467376709,1.0
42, Emporia.,Emporia,0.1296696662902832,17.65505313873291,0.9787183403968811
43," No, New Mexico does not have an official language, but Spanish is widely used and promoted in the state.",the state has no official language.,0.11990880966186523,21.305765867233276,0.4942343235015869
44, The Savile club at Eton is interested in Rare Books and Manuscripts.,Rare Books and Manuscripts,0.13534283638000488,20.231769561767578,0.5950670838356018
45, 1,one,0.1399064064025879,17.29013729095459,0.7313902378082275
46," The athletic director, Sheahon Zenger.",Sheahon Zenger,0.1363353729248047,19.085859060287476,0.7028283476829529
47," The culprit was summoned to appear in a pair of old trousers, as the caning would cut the cloth to shreds.",the caning would cut the cloth to shreds,0.1313464641571045,21.755743265151978,0.7017157077789307
48," £1,700","£1,700",0.12155508995056152,17.874675989151,1.0
49, Aussiedler,Aussiedler,0.11924195289611816,17.58834195137024,1.0
50, Bill Self,Bill Self,0.13924455642700195,17.392048835754395,0.9999999403953552
51, 6 million,six million Spanish language students.,0.1158449649810791,17.67731523513794,0.5142685770988464
52, Tim Johnson,Tim Johnson,0.13956212997436523,17.43179225921631,1.0
53, 1648,1648,0.11846661567687988,17.718482732772827,1.0
54, The correction in the Gregorian calendar was due to the steady drift in the date of Easter caused by the year being slightly too long.,length of the year,0.13716411590576172,22.347612142562866,0.40449750423431396
55, 16,16,0.12053513526916504,17.430745601654053,1.0
56, AACSB,AACSB,0.12086296081542969,17.294697761535645,1.0
57, London,London,0.1222391128540039,17.264365911483765,1.0
58, The Teutoburg Forest.,Battle of the Teutoburg Forest,0.1272752285003662,18.42979097366333,0.7858726978302002
59, HMS Grace Dieu,HMS Grace Dieu,0.11737346649169922,17.821282386779785,1.0000001192092896
60, The Teutonic Knights.,Catholic German Teutonic Knights,0.11212539672851562,18.24342179298401,0.8366623520851135
61, 4,subtract one day,0.13384318351745605,17.432714223861694,0.17467285692691803
62, The Red Lion public house.,Red Lion,0.12822651863098145,18.20617699623108,0.7220526337623596
63, 5,five,0.13309049606323242,17.551806449890137,0.9229784607887268
64," September 20, 1582",20 September 1582,0.1276390552520752,18.463786840438843,0.9712625741958618
65, Southampton Central.,Southampton Central,0.14469337463378906,17.599689483642578,0.9739577770233154
66, The M27 motorway.,the M27,0.1362152099609375,18.09652352333069,0.7321831583976746
67, 1417,1417,0.1160573959350586,17.52172327041626,1.0
68, Winchester,Winchester,0.10970687866210938,17.113789558410645,0.9999999403953552
69, £28 million.,£28 million,0.13064146041870117,17.73308491706848,0.9704371690750122
70, Almost half.,half,0.13399791717529297,17.661173105239868,0.861004114151001
71, Sea City,Sea City,0.15483903884887695,17.348533868789673,1.0000001192092896
72, 2.4%,2.5,0.1440873146057129,18.023021697998047,0.6676821112632751
73, 2005,2005,0.12552475929260254,17.496112823486328,1.0
74, The Duke of Wellington,Duke of Wellington,0.1310713291168213,17.871147394180298,0.976883590221405
75, Kids Can't Fly,Kids Can't Fly,0.11877727508544922,17.82419776916504,1.0000001192092896
76," 236,900","236,900",0.13495492935180664,17.746336460113525,1.0
77, The 10th century.,10th century,0.12548208236694336,18.29446530342102,0.96128249168396
78," Yes, the Texas Revolution was a war between the Texans and the Mexicans.","Texans, fought a war of independence from the central government of Mexico",0.13511252403259277,19.865665435791016,0.7447900772094727
79, An embankment.,embankment,0.1327528953552246,17.881768465042114,0.9396384358406067
80, Germany,Germany,0.12642502784729004,17.251092672348022,1.0
81, Georgian architecture,Georgian,0.11543869972229004,17.43518567085266,0.7809290885925293
82, 840,840,0.13161420822143555,17.331424474716187,1.0000001192092896
83, The Holy Roman Empire.,East Francia,0.11783456802368164,18.02519917488098,0.28236597776412964
84, Pan-Germanism,Nationalism,0.13356614112854004,17.901392698287964,0.4276903569698334
85, 35th,35th,0.10761332511901855,17.671220541000366,1.0
86," Conduit Head, which is located near Hill Lane, Shirley.",Conduit Head,0.11441516876220703,19.577064752578735,0.6583738327026367
87, 5,12,0.12264490127563477,17.418022394180298,0.6980264186859131
88, Prisoners of war.,POWs,0.1399400234222412,18.148662090301514,0.44445013999938965
89," The three constituents of the medical center at KU are: 
1. The School of Medicine
2. The School of Nursing
3. The School of Health Professions.","the School of Medicine, School of Nursing, and School of Health Professions",0.12081217765808105,23.905431747436523,0.5926581621170044
90," ein diutscher means ""a German""",a German,0.13738656044006348,18.814127206802368,0.5966927409172058
91," ""Home on the Range""","""Kansas Song""",0.11785578727722168,18.168447017669678,0.24635115265846252
92, Max Skladanowsky,Max Skladanowsky,0.14140987396240234,18.08976173400879,1.0000001192092896
93, East Prussia,East Prussia,0.11455130577087402,17.517080307006836,1.0
94, A tabular method.,tabular method,0.12949752807617188,18.01449179649353,0.8787346482276917
95, 96th most deprived out of all 354 Local Authorities in England.,96th,0.12377619743347168,19.96900200843811,0.2969088554382324
96," Prince Richard, Duke of Gloucester.",Prince Richard,0.1341094970703125,18.701256036758423,0.7898318767547607
97, 12th century,12th,0.12600159645080566,17.795085430145264,0.5644333362579346
98, Luxury cruise ships.,cruise ships,0.1253044605255127,17.81935405731201,0.9047895669937134
99," St. Augustine, Florida.","St. Augustine, Florida",0.11987662315368652,18.28099799156189,0.9705454111099243
100, The West Quay region in Southampton city centre.,West Quay,0.1232137680053711,18.959712266921997,0.7827539443969727
101, Easter,Easter,0.14051008224487305,17.31654119491577,1.0000001192092896
102, Charles Grimaldi,Charles Grimaldi,0.1066887378692627,17.789565801620483,1.0
103, Southampton supplied components for a Mulberry harbour and military cargo to help keep the Allied forces supplied.,Allied forces,0.13853907585144043,20.856769323349,0.36200305819511414
104, The Times Higher Education Supplement (THES) - QS World University Rankings.,THES - QS World University Rankings,0.136671781539917,19.85221028327942,0.8635000586509705
105," 30,000","up to 30,000",0.13525080680847168,17.82490086555481,0.8084946870803833
106, 600,600,0.13618874549865723,17.45791459083557,1.0
107," The Community Tool Box offers over 7,000 pages of practical information for promoting community health and development.","more than 7,000 pages",0.13943719863891602,21.234024047851562,0.39769458770751953
108, Charles Moore.,Charles Moore,0.1618945598602295,17.54997706413269,0.9767385125160217
109, Craig David.,Craig David,0.1255791187286377,17.554155588150024,0.9792065620422363
110, 1965,1965,0.15547871589660645,17.584707260131836,1.0000001192092896
111," Roughly half of all American Spanish-speakers also speak English ""very well.""","Roughly half of all American Spanish-speakers also speak English ""very well,"" based on their self-assessment in the U.S. Census.",0.11875391006469727,20.09972071647644,0.9442794919013977
112, Print and online.,print and online,0.13513946533203125,17.78827428817749,0.916192352771759
113," Yes, New Mexico's language also includes other dialects, such as New Mexican Spanish, which has retained many elements of 16th- and 17th-century Spanish and has developed its own vocabulary.","New Mexican Spanish also contains loan words from the Pueblo languages of the upper Rio Grande Valley, Mexican-Spanish words (mexicanismos)",0.12625360488891602,24.9590106010437,0.6964782476425171
114," ""Sign for information""",sign for information,0.14064955711364746,18.010705709457397,0.9627776145935059
115," Yes, there were states ruled by the Spanish in the United States, including Florida, Texas, Colorado, New Mexico, Arizona, Nevada, Utah, and California.","western regions of the Louisiana Territory were under Spanish rule between 1763 to 1800,",0.12602829933166504,23.270267724990845,0.48150163888931274
116, Many of the Germans lived in the eastern European countries for centuries.,for centuries,0.12528443336486816,19.645153522491455,0.2224830687046051
117, 1964,1964,0.14545083045959473,17.653759479522705,1.0000001192092896
118, The Mayflower Theatre.,Farrer,0.13567495346069336,17.862345695495605,0.14969024062156677
119," The title of rex teutonicum, ""King of the Germans"", was first used in the late 11th century, by the chancery of Pope Gregory VII, to describe the future Holy Roman Emperor of the German Nation Henry IV.",late 11th century,0.13509678840637207,26.5945827960968,0.35380086302757263
120," The combined student population of the University of Southampton and Southampton Solent University is over 40,000.","over 40,000",0.12610721588134766,21.174373388290405,0.34429723024368286
121, Solar calendar.,solar,0.13880205154418945,17.595285892486572,0.7439557313919067
122," 17,000","17,000",0.13412165641784668,17.949538469314575,1.0000001192092896
123," The goals of the Independent and State School Partnership (ISSP) are to ""raise pupil achievement, improve pupil self-esteem, raise pupil aspirations and improve professional practice across the schools"".","raise pupil achievement, improve pupil self-esteem, raise pupil aspirations and improve professional practice across the schools",0.12511277198791504,24.04315495491028,0.571134090423584
124," After an MI, bypass surgery (CABG) may be recommended rather than angioplasty in people with blockages of multiple coronary arteries and diabetes.",blockages of multiple coronary arteries and diabetes,0.12035155296325684,23.11222243309021,0.47128725051879883
125," Spanish is the most widely taught non-English language in American secondary schools and colleges, with over 1.4 million university students enrolled in language courses in 2002.",Spanish is the most widely taught language in American colleges and universities with 53 percent of the total number of people enrolled,0.14897584915161133,23.86397910118103,0.8585668206214905
126, 29 June 1199,29 June 1199,0.13809442520141602,18.102851629257202,1.0
127, Nationality statute conditioning entry on the applicant's father being British by birth.,applicant's father being British by birth,0.130049467086792,19.98009943962097,0.8932854533195496
128, One mile and a half.,one mile and a half,0.11558318138122559,18.205186128616333,0.9815502166748047
129, Ocean FM,Ocean FM,0.1295316219329834,17.545506715774536,0.9999999403953552
130, Rome,Rome,0.1257634162902832,17.153749704360962,1.0000001192092896
131, 1939,1939,0.13538336753845215,17.66359281539917,1.0
132, Pound Tree Road.,Pound Tree Road,0.13353276252746582,17.778095483779907,0.979988694190979
133, ABET,ABET,0.1314704418182373,17.436760187149048,1.0
134," Southampton City College offers a range of vocational courses for school leavers, as well as ESOL programmes and Access courses for adult learners.",Access courses,0.13051438331604004,22.115368843078613,0.510613203048706
135, Christianity.,Christianity,0.13980841636657715,17.36085867881775,0.9124829769134521
136, The 1992 Local Government Act.,1992 Local Government Act,0.12919306755065918,18.580214977264404,0.96928870677948
137, The Etonians who had died in the Boer War.,Etonians who had died in the Boer War,0.1295180320739746,19.49351668357849,0.9470304250717163
138, Hantscire,Hantscire,0.13269972801208496,17.80515456199646,1.0
139, Pope Gregory XIII awarded the rights to publish the calendar to Antonio Lilio.,the pope,0.12359857559204102,19.943262338638306,0.37856972217559814
140, Sending up for good is an award given to a boy at Eton College for producing an outstanding piece of work.,If any boy produces an outstanding piece of work,0.14142870903015137,21.508331775665283,0.5644797682762146
141, Lawrence Oates,Lawrence Oates,0.14769339561462402,17.566314458847046,1.0
142, 1835,1835,0.14011240005493164,17.572990655899048,1.0
143, The M271 motorway.,M271,0.11967277526855469,18.151819229125977,0.6640620231628418
144," Many Venezuelans came to America due to economic fluctuations in Venezuela and the desire for a higher salary, as well as opposition to the economic and political policies of President Hugo Chávez.","Many Venezuelans settled in the United States with hopes of receiving a better education, only to remain in there following graduation.",0.15243220329284668,24.227819442749023,0.6435390710830688
145, 1 January 1926.,1 January 1926,0.1364748477935791,18.39198088645935,0.9825705289840698
146," They were assimilated into German culture and eventually intermarried with German families, including the Prussian aristocracy known as the Junkers.",were assimilated into German culture,0.15671825408935547,22.241612672805786,0.6975060701370239
147, World War II,World War II,0.13016033172607422,17.524259090423584,1.0
148, The University of Southampton.,University of Southampton,0.12892580032348633,17.995109796524048,0.9620710611343384
149, The latter half of the 20th century.,20th,0.12192678451538086,18.951019048690796,0.4127170145511627
150, 2010,2006,0.14509987831115723,17.670384168624878,0.7428669929504395
151," Yes, Calvin Veltman's studies on English language adoption by Hispanophone immigrants remain relevant today as they document the trend of bilingualism and eventual adoption of English as the preferred language among Hispanic Americans.","his study based itself upon a large 1976 sample from the Bureau of the Census (which has not been repeated),",0.14146065711975098,24.80101180076599,0.25353798270225525
152," South Florida, especially the suburbs of Doral and Weston.","Some of the urban areas with a high Venezuelan community include Miami, New York City, Los Angeles, and Washington, D.C.",0.1388390064239502,19.357330799102783,0.42360419034957886
153," Three times: 1948, 1968, and 2008.",three,0.12501215934753418,20.12085270881653,0.41665035486221313
154, Men's Fitness magazine.,Men's Fitness,0.1517620086669922,18.147321701049805,0.7588411569595337
155, Oppidans,Oppidans,0.14856767654418945,17.63394284248352,1.0000001192092896
156, 40 acres (16 ha),forty acres,0.1337592601776123,18.377172470092773,0.8215750455856323
157, Yes.,The area of the former Gadsden Purchase contained a majority of Spanish-speakers until the 1940s,0.12095403671264648,17.450316190719604,0.0030942680314183235
158, Two,two,0.12300682067871094,17.30933117866516,1.0
159, Banister Court Stadium in the pre-war era.,Banister Court Stadium,0.12522029876708984,19.093443632125854,0.8353660702705383
160, Dance music,dance,0.13368844985961914,17.444138526916504,0.826194167137146
161, 10 minutes 48 seconds per year.,10 minutes 48 seconds,0.13114523887634277,18.790995359420776,0.7267144918441772
162, The event that started the consular year was the day when consuls first entered office.,consuls first entered office,0.14150524139404297,20.466675758361816,0.7442220449447632
163, 30%,30%,0.12956833839416504,17.540531635284424,1.0
164, Coldplay,Pink Floyd,0.13210058212280273,17.493069887161255,0.4299272298812866
165, Adult contemporary music.,adult contemporary,0.13485193252563477,17.86543846130371,0.7897395491600037
166," Economic and political instability, including civil wars, natural disasters, and oppressive governments.",civil wars engulfed several Central American countries in the 1980s,0.12481689453125,20.063631296157837,0.4686153829097748
167, The true motions of the sun and moon.,motions of the sun and moon,0.12612032890319824,18.821197271347046,0.9021272659301758
168, 4.9%,4.9,0.13896894454956055,17.98538637161255,0.6759970188140869
169, The Nicaraguans migrated to the United States in the late 1970s and 1980s due to political instability and the Sandinista revolution.,Throughout the 1980s with the United States supported Contra War (or Contra-revolutionary war) which continued up until 1988,0.12903499603271484,23.36969256401062,0.3592369854450226
170," Alan Mulally, former President and CEO of Ford Motor Company, is an alumnus of the University of Kansas.",Charles E. Spahr,0.1233053207397461,21.700130224227905,0.19569163024425507
171, Hampshire County Council,Hampshire County Council,0.13548541069030762,17.535218477249146,0.9999998807907104
172, 3,-4,0.13173246383666992,17.34450078010559,0.5002052187919617
173," The second reform of the calendar was the Gregorian calendar reform, which was introduced in 1582 by Pope Gregory XIII.",lunar cycle,0.1377255916595459,21.90324354171753,0.31209924817085266
174, Myocardial infarction.,Myocardial infarction,0.13286876678466797,18.398531913757324,0.9471462965011597
175, Eton College is the sixth most expensive HMC boarding school in the UK.,sixth most expensive,0.1159050464630127,20.161356449127197,0.4530261158943176
176, Roger Lupton,Roger Lupton,0.13867640495300293,17.807276010513306,1.0000001192092896
177, The Napoleonic Wars.,The Napoleonic Wars,0.1638646125793457,18.259634733200073,0.9745693206787109
178, 1 day.,1 day,0.13055205345153809,17.757688522338867,0.9218755960464478
179, Meridian,Meridian,0.13794326782226562,17.497302770614624,1.0
180, Hampshire,Hampshire,0.1267554759979248,17.360031127929688,1.0
181, The Swiss.,The Swiss,0.12069869041442871,17.604082584381104,0.9831530451774597
182," Whiteley, around nine miles from the city.",Whiteley,0.13419628143310547,18.94881844520569,0.7236958742141724
183, East Germanic language.,East Germanic,0.13222885131835938,18.086556434631348,0.8966047763824463
184," Yes, Cubans speak Spanish in America.",most are fluent in Spanish,0.12901830673217773,18.753861904144287,0.5916094779968262
185, 1 January.,1 January,0.1199793815612793,17.75666856765747,0.9598766565322876
186," The University of Kansas School of Architecture, Design, and Planning (SADP)","The University of Kansas School of Architecture, Design, and Planning",0.13392257690429688,20.27386975288391,0.8961268067359924
187, To account for the irregularities in the Gregorian calendar system.,language-independent,0.12313580513000488,19.54930019378662,0.1258237659931183
188, Approximately 50 million.,50 million,0.13168787956237793,18.01021099090576,0.8206081390380859
189, 1800.,1800,0.11657547950744629,17.820902109146118,0.9630804061889648
190, 1%,one,0.12273859977722168,17.654590368270874,0.3724736273288727
191," The Walhalla temple is located east of Regensburg, in Bavaria.",Bavaria,0.1234431266784668,20.179677486419678,0.4310244023799896
192," New Style (N.S.) dates refer to the Gregorian calendar, which was introduced in 1582 to correct the Julian calendar's error in calculating the date of Easter.",Gregorian,0.1394200325012207,23.86882972717285,0.5242974162101746
193, South West Trains,South West Trains,0.13439440727233887,17.80640721321106,1.0
194, The date of Easter.,date of Easter,0.11666560173034668,17.95482563972473,0.9515215158462524
195, Sunday,Sunday,0.14019989967346191,17.30564570426941,1.000000238418579
196, The charter of Charles I in 1640.,Charles I,0.13158655166625977,18.89612317085266,0.5975162982940674
