idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,Chicago.,Chicago,0.0011627674102783203,1.9284119606018066,0.9562100172042847
1,"September 3, 1925.","September 3, 1925",0.0011184215545654297,0.853874921798706,0.987643837928772
2,Quasimodo.,Quasimodo,0.0009725093841552734,0.6936259269714355,0.9787311553955078
3,The United States.,American,0.0008585453033447266,0.6497478485107422,0.48857617378234863
4,Cris Morena.,Cris Morena,0.0009453296661376953,0.6970934867858887,0.9827972650527954
5,A Muse (2012),"He is best known for his films ""Happy End"" (1999) and ""A Muse"" (2012).",0.0009138584136962891,0.7013552188873291,0.5802438855171204
6,Chief Mouser to the Cabinet Office.,Chief Mouser to the Cabinet Office,0.0009310245513916016,0.8602468967437744,0.9819830656051636
7,1964.,1964,0.0008733272552490234,0.612696647644043,0.9599661827087402
8,Kevin Turpin is the President of National Journal.,Kevin Turpin,0.0009784698486328125,0.9061789512634277,0.7063701152801514
9,"Dhaulagiri was first climbed on May 13, 1960, while Nangpai Gosum was first climbed on October 12, 1986.",Dhaulagiri,0.0008423328399658203,1.9408738613128662,0.4309293031692505
10,Grave Digger.,Grave Digger,0.0009860992431640625,0.6871812343597412,0.9794038534164429
11,1996.,1996-2009,0.0010509490966796875,0.6944420337677002,0.8021435737609863
12,"Barbarea is not in the pea family, it is in the family Brassicaceae. Delonix is in the pea family, Fabaceae.",Delonix,0.0009143352508544922,1.7720470428466797,0.3882022500038147
13,Jennifer Lynch.,Jennifer Chambers Lynch,0.0009620189666748047,0.6421709060668945,0.8678421974182129
14,The New York metropolitan area.,The New York metropolitan area,0.0008709430694580078,0.7707982063293457,0.9738470315933228
15,Ranger Rick.,Ranger Rick,0.0009629726409912109,0.6644909381866455,0.977908730506897
16,A social club for Harvard students.,a social club,0.0008494853973388672,0.8306052684783936,0.7346400022506714
17,"No, they are not. Wells Fargo is a bank and financial services company, while Southwest Airlines is an airline.",no,0.0008804798126220703,1.4387972354888916,0.051858797669410706
18,Three.,three,0.001096963882446289,0.6046724319458008,0.9212040305137634
19,"The Zugspitze, at 2,962 m (9,718 ft) above sea level.",Zugspitze,0.0009562969207763672,1.4591045379638672,0.5752323865890503
20,"February 19, 2007","June 19, 2006",0.0010080337524414062,0.8283617496490479,0.809327244758606
21,Documentary films.,documentary,0.0009629726409912109,0.6612095832824707,0.8510596752166748
22,Todd McFarlane.,Todd McFarlane,0.0009970664978027344,0.728095293045044,0.9870370626449585
23,Showtime.,Showtime,0.0009121894836425781,0.6401185989379883,0.9660608768463135
24,Mackinaw City.,Mackinaw City,0.0009396076202392578,0.737154483795166,0.9889430403709412
25,Yes.,yes,0.0008342266082763672,0.6166782379150391,0.836855947971344
26,Yes.,yes,0.0008268356323242188,0.605004072189331,0.836855947971344
27,Pneumonia.,pneumonia,0.0008170604705810547,0.6512646675109863,0.9111567139625549
28,FEMSA and C.F. Monterrey developed the Estadio BBVA Bancomer.,FEMSA and C.F. Monterrey,0.0008096694946289062,1.2769007682800293,0.6954565048217773
29,The Louisville Cardinals.,Louisville Cardinals,0.0008716583251953125,0.6483006477355957,0.9425508379936218
30,Ice Princess.,Ice Princess,0.0009415149688720703,0.6427114009857178,0.9740442037582397
31,Basketball.,basketball,0.0009102821350097656,0.6001346111297607,0.9341326951980591
32,"None, the text does not mention any award received by Hermann Göring for the HTO in the WW.",Pour le Mérite,0.0008802413940429688,1.5065703392028809,0.10322665423154831
33,Hunan TV.,Hunan TV,0.0009343624114990234,0.6594762802124023,0.9836122989654541
34,Freiburg.,"Freiburg im Breisgau, Baden-Württemberg",0.0009326934814453125,0.6998255252838135,0.7822397351264954
35,Barq's.,Barq's,0.0008854866027832031,0.706223726272583,0.9796097278594971
36,Nerrukku Ner (1997),"After making his debut in ""Nerukku Ner""",0.0008840560913085938,0.9226241111755371,0.5976154804229736
37,Tusculum.,"Tusculum, Tennessee",0.0008530616760253906,0.6835863590240479,0.7679376602172852
38,New College.,New College,0.0008370876312255859,0.609769344329834,0.9663346409797668
39,1979,1979,0.00078582763671875,0.6480422019958496,0.9999999403953552
40,The First Schleswig War.,First Schleswig War,0.0009381771087646484,0.8373210430145264,0.9747068285942078
41,New York City.,New York City,0.0008268356323242188,0.6926395893096924,0.9656890034675598
42,"No, they have different nationalities. Rob Hyman is American and Kahi is South Korean.",no,0.000782012939453125,1.358077049255371,0.14996114373207092
43,left winger.,left winger,0.0009133815765380859,0.6487274169921875,0.9710085391998291
44,The Recording Industry Association of America.,Recording Industry Association of America,0.0008461475372314453,0.8151595592498779,0.9570045471191406
45,Shaggy Rogers.,"Norville ""Shaggy"" Rogers",0.0010137557983398438,0.7381184101104736,0.8286741971969604
46,Ohio State University.,Ohio State University,0.0008916854858398438,0.6860325336456299,0.9798281192779541
47,Amy Jo Johnson.,Amy Jo Johnson,0.0010356903076171875,0.694537878036499,0.9826259613037109
48,Kevin Curran.,Kevin Curran,0.0008881092071533203,0.6900911331176758,0.982109010219574
49,Lunar Module Pilot.,Lunar Module Pilot,0.0009636878967285156,0.6902892589569092,0.9563014507293701
50,"Victoria University of Wellington was established in 1897, while University of West Florida was established in 1963.",Victoria University of Wellington,0.0009407997131347656,1.462101936340332,0.7245221138000488
51,China.,People's Republic of China,0.0008349418640136719,0.5726199150085449,0.5142704248428345
52,Clark County.,Clark County,0.0008130073547363281,0.6526234149932861,0.9824510812759399
53,2.1-1.5 million years ago.,2.1 and 1.5 million years ago,0.0008387565612792969,1.0240204334259033,0.9481929540634155
54,15.,15,0.0008580684661865234,0.6586172580718994,0.9291602969169617
55,"Fine Young Cannibals have 5 members, while Kent has 4 members.",Kent,0.0008327960968017578,1.201653242111206,0.45957309007644653
56,1909,1909,0.0009696483612060547,0.6468391418457031,0.9999999403953552
57,"Albert I, Duke of Saxony.",King Valdemar II,0.0008873939514160156,0.8505313396453857,0.38176098465919495
58,"No, One Liberty Plaza is 743 ft tall, while 252 East 57th Street is 712 ft tall.",yes,0.0008254051208496094,1.5712733268737793,0.10696939378976822
59,Disney's All-Star Movies Resort.,Disney's All-Star Movies Resort,0.0010480880737304688,0.7727961540222168,0.9716359972953796
60,Young Boys.,Young Boys,0.0011000633239746094,0.6530561447143555,0.9815269708633423
61,Yes.,yes,0.0008518695831298828,0.6113405227661133,0.836855947971344
62,Eric Knowles.,Eric Knowles,0.0008554458618164062,0.6576406955718994,0.9776937961578369
