idx,generated_response,ground_truth,reset_cache_time,generate_time
0, a trickster,getting injured in slapstick fashion.,0.0005350112915039062,1.746253252029419
1, Nunbarsegunu,Ninlil,0.0005431175231933594,2.4301536083221436
2, Kindergarten Cop,Kindergarten Cop,0.0005123615264892578,1.6471078395843506
3, Yes,yes,0.0004975795745849609,0.8509960174560547
4, Viešnautas,Neris,0.0004911422729492188,2.4379265308380127
5, Douglas DC-8,Douglas Aircraft Company,0.0005037784576416016,2.0393950939178467
6, Yes,no,0.0004982948303222656,0.8510468006134033
7, Weekly Shōnen Champion,Weekly Shōnen Champion,0.0005035400390625,2.436295747756958
8, Annie,Annie,0.0004985332489013672,0.8529691696166992
9, 30 April 1961,15 September 1978,0.0004990100860595703,2.8272907733917236
10, Brian Johnson,Brian Johnson,0.0004961490631103516,1.2431859970092773
11, Néstor Kirchner,Néstor Kirchner,0.0004897117614746094,2.4329006671905518
12, Dennis Banks,"April 12, 1937",0.0004975795745849609,1.2539758682250977
13," Epcot's Imagination! pavilion in Walt Disney World Resort in Bay Lake, Florida.",Bay Lake,0.0005183219909667969,8.360949516296387
14, Universal Pictures,Comcast,0.0005099773406982422,1.2430071830749512
15, No,no,0.0004968643188476562,0.850151777267456
16, The Charge of the Light Brigade.,Charge of the Light Brigade,0.0005064010620117188,3.2302639484405518
17, The one mil coin.,one mil coin,0.0004911422729492188,2.4403247833251953
18, 1949,1949,0.00049591064453125,1.6627509593963623
19, Semitic,Semitic,0.0004987716674804688,1.2601134777069092
20, Girls on Top,"""Girls on Top""",0.0005257129669189453,1.653329849243164
21, A romance.,romantic,0.0005013942718505859,1.6489923000335693
22, French,French,0.0004940032958984375,0.8581719398498535
23, AC/DC,AC/DC,0.000507354736328125,1.6533737182617188
24, Yes,yes,0.0005013942718505859,0.8578619956970215
25, Godey's Lady's Book,Godey's Lady's Book,0.0005040168762207031,3.251450777053833
26, Burlington Northern Railroad,Burlington Northern Railroad,0.0005078315734863281,1.7154736518859863
27, 1993,1939,0.0005064010620117188,1.6642906665802002
28, Junji Ito,Junji Ito,0.0005049705505371094,2.0499980449676514
29," The Molotov-Ribbentrop Pact led to the territorial losses of Romania to the Axis powers and the king's abdication in 1940, effectively ending the existence of Ținutul Jiu.",ceased to exist,0.0004994869232177734,19.11543560028076
30," San Bernardino County, California.","Brookline, Massachusetts",0.0004947185516357422,2.842576742172241
31, St. Paul,St. Paul,0.0005195140838623047,1.6554462909698486
32, Central Michigan.,Western Michigan,0.0004901885986328125,1.650266408920288
33, A church,It is a religious building,0.0005104541778564453,1.2485947608947754
34, Malcolm Turnbull,Malcolm Turnbull,0.000518798828125,1.257673740386963
35, Switchfoot,Jon Foreman,0.0005216598510742188,1.256134033203125
36, San Francisco 49ers,San Francisco 49ers,0.0004971027374267578,2.446075916290283
37, The Meiji period.,Meiji,0.0005414485931396484,2.449519634246826
38, The Old Vic Theatre in London.,Yale Repertory Theatre,0.0005183219909667969,3.2396395206451416
39, 141 miles,141 mi,0.0005004405975341797,1.6506397724151611
40, Sway,Sway,0.0004961490631103516,1.2510313987731934
41, 2012,1980,0.0005018711090087891,1.6566555500030518
42, Charles Dickens,Charles Dickens,0.0005137920379638672,1.2605385780334473
43, Stanley Kubrick,Stanley Kubrick,0.0004975795745849609,1.6590142250061035
44, The Rose Bowl Player Of The Game award.,European Footballer of the Year,0.0005002021789550781,4.042022943496704
45, Netherlands Antilles,Dutch Antilles,0.0005202293395996094,1.6493992805480957
46," Silverchair was formed in 1992, while Cage9 was formed in 1993.",Silverchair,0.0004966259002685547,8.006488561630249
47, Allison Moorer,Allison Moorer,0.0005040168762207031,1.6556308269500732
48," December 14, 2018","December 14, 2018",0.0004949569702148438,3.242527723312378
49, Harvey Grant,Horace Grant,0.0004985332489013672,1.2666404247283936
50, Manchuria and Korea.,Manchuria and Korea,0.0005090236663818359,2.8475229740142822
51, No,yes,0.0005180835723876953,0.8579919338226318
52, Liz Rose and Hillary Lindsey,Swift and Liz Rose,0.0004999637603759766,2.530672788619995
53, Comedian.,comedian,0.00049591064453125,1.6540517807006836
54, Yes,yes,0.0004999637603759766,0.8552665710449219
55," Eureka, Nevada.","Eureka County, Nevada, United States",0.0004961490631103516,2.4387705326080322
56, Ray Bradbury,Ray Bradbury,0.0005028247833251953,1.6529309749603271
57, California,"Roy ""Wrong Way"" Riegels",0.0005042552947998047,0.8590071201324463
58, 393,393,0.0004951953887939453,1.260009527206421
59, Eric Robles,Eric Robles,0.0004947185516357422,1.6508045196533203
60, For Your Consideration,For Your Consideration,0.0005164146423339844,2.0482842922210693
61," The author of the novel ""The Round House"" is Louise Erdrich, who is an enrolled member of the Turtle Mountain Band of Chippewa Indians, a band of the Anishinaabe (also known as Ojibwe and Chippewa).",Turtle Mountain Band of Chippewa Indians,0.0005216598510742188,22.303508043289185
62, Miles Teller,Amy Beth Schumer,0.0005059242248535156,1.6499862670898438
63, Park Subin,Park Su-bin,0.0005142688751220703,1.6580944061279297
