idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, An old-fashioned glass.,old-fashioned,0.061324119567871,7.6528401374816895,0.5980428457260132,0.6666666666666666,0.6666666666666666,Both the Jack and Coke and Orange Tundra can can be poured into what kind of glass?
1, 1977,1977,0.1140871047973632,7.486095190048218,1.0,1.0,1.0,"American Eagle Outfitters, Inc. is an American clothing and accessories retailer, headquartered in the Southside Works Neighborhood of Pittsburgh, Pennsylvania, it was founded in which year, by brothers Jerry and Mark Silverman as a subsidiary of Retail Ventures, Inc.?"
2, New York.,New York,0.0659677982330322,7.4437971115112305,0.964856505393982,1.0,1.0,"101 Park Avenue and 55 Water Street, are located in which state?"
3, Yes.,yes,0.0559549331665039,7.288601398468018,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
4, Labour Party,the Member of Parliament (MP),0.0539679527282714,7.309334993362427,0.4360451698303222,0.0,0.0,"Crewe and Nantwich is a constituency in Cheshire represented in the House of Commons of the UK Parliament since 2017, by Laura Smith, elected as what for Crewe and Nantwich at the 2017 general election?"
5, Maxim Gorky,Maxim Gorky,0.0468473434448242,7.5318076610565186,1.0,1.0,1.0,"Who proclaimed that the author of the play ""The Twelve Months"" was the founder of Russia's children's literature?"
6, George Mikan,George Mikan,0.0965046882629394,7.411120891571045,1.0,1.0,1.0,Which round spectacle wearing basketball player played with the Lakers during the 1947-48 National Basketball League championship ?
7, American.,American,0.1347246170043945,7.295489549636841,0.9135115146636964,1.0,1.0,Kerry Remsen is the daughter of an actor with what ethnicity?
8, Azara,Azara,0.059518814086914,7.30656623840332,0.9999999403953552,1.0,1.0,"Which of these is in the family Salicaceae, Calophyllum or Azara?"
9, Film and television production.,films,0.0488271713256835,7.666490793228149,0.7005831003189087,0.4,0.4,"Fred Savage and Patrick Bokanowski, are in which mutual occupation industry?"
10, 1823,1823,0.0483686923980712,7.408182144165039,1.0000001192092896,1.0,1.0,What year was the man from Rock City Falls known as the Paper Bag King born in?
11, Casco Bay.,Casco Bay,0.0466742515563964,7.550659418106079,0.9846950769424438,1.0,1.0,Which inlet on the Gulf of Maine is home to House Island?
12, Game Designers' Workshop (GDW),Game Designers' Workshop,0.0763711929321289,8.148916006088257,0.8881641030311584,0.8571428571428571,0.8571428571428571,What company released the Minion Hunter board game in 1992 in conjunction with a near-future horror role-playing game (RPG) in 1991?
13, 1995-2012,2016,0.0492358207702636,7.779263257980347,0.5003900527954102,0.0,0.0,In what year was the choreographer with whom Laz Brotherston has collaborated knighted?
14, Music albums.,album,0.1069462299346923,7.463121652603149,0.7525829076766968,0.6666666666666666,0.6666666666666666,"What does ""Angel"" and ""Fifth Harmony"" have in common?"
15, 1955,Steve Jobs,0.0460517406463623,7.396323680877685,0.2164785265922546,0.0,0.0,"Before Playing It My Way was launched, Walter Isaacson, who wrote biographies on people such as Benjamin Franklin and Albert Einstein, wrote a biography on this man, which held the record in India for most preordered book?"
