idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,None mentioned in the given context.,New Left,0.0009284019470214844,2.1648502349853516,0.06096133589744568,0.0,0.0
1,Cotton yarn can be used for crochet and knitting.,crochet and knitting,0.0011403560638427734,0.9541161060333252,0.7759372591972351,0.5,0.5
2,"""Superheroes in the real world"" approach.","""superheroes in the real world""",0.0010540485382080078,0.9453873634338379,0.9100666046142578,0.9090909090909091,0.9090909090909091
3,Late 18th and early 19th centuries.,late 18th and early 19th,0.0008950233459472656,0.9968140125274658,0.8495537638664246,0.9090909090909091,0.9090909090909091
4,The FBI and the CIA had a lack of cooperation.,"FBI, CIA",0.0010373592376708984,0.9893667697906494,0.533152163028717,0.33333333333333337,0.33333333333333337
5,"42,094","42,094",0.0009860992431640625,0.698225736618042,1.0000001192092896,1.0,1.0
6,Real-life FBI operations.,real-life cities,0.0009624958038330078,0.7355778217315674,0.41098037362098694,0.5714285714285715,0.5714285714285715
7,Egypt.,Egyptian,0.0010166168212890625,0.6118795871734619,0.8043161630630493,0.0,0.0
8,6000-5000 BCE.,Neolithic,0.0009131431579589844,0.8539903163909912,0.42856359481811523,0.0,0.0
9,The U.S Supreme Court.,Supreme Court,0.00104522705078125,0.7716679573059082,0.8750542402267456,0.5714285714285715,0.5714285714285715
10,"Ladybirds, lacewings, and spiders.","ladybirds, lacewings and spiders",0.001051187515258789,0.9513652324676514,0.9756391048431396,1.0,1.0
11,Some of Marvel's genre titles were published in larger-format black and white magazines under its Curtis Magazines imprint.,"larger-format black and white magazines, under its Curtis Magazines imprint",0.0009577274322509766,1.4623138904571533,0.8177821636199951,0.7096774193548387,0.7096774193548387
12,The text does not mention an agency asking Marvel to tackle an issue.,drug abuse,0.0009396076202392578,1.0589652061462402,0.03445460647344589,0.0,0.0
13,The FBI is a federal law enforcement agency.,FBI is primarily a domestic agency,0.0009262561798095703,0.8987655639648438,0.8439191579818726,0.5714285714285715,0.5714285714285715
14,"""Seekers of the Weird""","""Seekers of the Weird""",0.000949859619140625,0.8229084014892578,0.9999998807907104,1.0,1.0
15,Guardians of the Galaxy.,Guardians of the Galaxy,0.000942230224609375,0.6857690811157227,0.9728192090988159,1.0,1.0
16,"4 men were allowed to be convicted of the March 1965 gangland murder of Edward ""Teddy"" Deegan.",four,0.0010426044464111328,1.6202359199523926,0.20980983972549438,0.0,0.0
17,The US government was criticized and ordered to pay $100 million in damages to the wrongly convicted men in the 1965 gangland murder case.,"The country was ""jolted""",0.0009250640869140625,1.7422192096710205,0.11265052109956741,0.14285714285714285,0.14285714285714285
18,Pocket Books.,Pocket Books,0.001039266586303711,0.6136913299560547,0.9722139835357666,1.0,1.0
19,1738 (roller spinning machine) and 1764 (spinning jenny).,1738,0.0008537769317626953,1.2772884368896484,0.5820586681365967,0.2222222222222222,0.2222222222222222
20,"The Image versions of Marvel characters, as part of the ""Heroes Reborn"" crossover, were set in a parallel universe with a distinct history, separate from the mainstream Marvel Universe.",a parallel universe with a history distinct from the mainstream,0.0009675025939941406,2.057924509048462,0.4766581058502197,0.5128205128205129,0.4615384615384615
21,3300-1300 BCE.,3300 and 1300 BCE,0.0009219646453857422,0.8675460815429688,0.9734699726104736,0.8571428571428571,0.8571428571428571
22,1466,1466,0.0009980201721191406,0.6468935012817383,1.0,1.0,1.0
23,Windy conditions.,windy,0.0009157657623291016,0.697117805480957,0.8928344249725342,0.6666666666666666,0.6666666666666666
24,"An executive assistant director manages each branch, an assistant director heads each office and division, and a deputy assistant director leads a sub-branch.",an assistant director,0.0008432865142822266,1.7107458114624023,0.5912597179412842,0.2222222222222222,0.2222222222222222
25,Cotton can be blended with other fibers such as rayon and synthetic fibers like polyester to make various fabrics.,knitted or woven,0.0010333061218261719,1.4237289428710938,0.4779687523841858,0.0,0.0
26,"The FBI Laboratory was located in the J. Edgar Hoover Building until its completion in 1974, and it also maintained a second lab at the FBI Academy in Quantico, Virginia.",J. Edgar Hoover Building,0.0009212493896484375,2.0610251426696777,0.6474819183349609,0.23529411764705882,0.23529411764705882
27,10.6 million hectares.,10.6 million hectares,0.0009980201721191406,0.8223810195922852,0.9912165403366089,1.0,1.0
28,"The FBI Academy in Quantico, Virginia.",The FBI Academy,0.0009255409240722656,0.9101471900939941,0.837432324886322,0.6666666666666666,0.6666666666666666
29,"Approximately 800,000 Germans were living in East Prussia during the summer of 1945.","800,000",0.0009474754333496094,1.3628640174865723,0.27941903471946716,0.25,0.25
30,Imperial Russian troops.,Russian troops,0.0009164810180664062,0.6847949028015137,0.873579740524292,0.8,0.8
31,Heroes World Distribution,Heroes World Distribution,0.0008947849273681641,0.6500887870788574,1.0,1.0,1.0
32,The United States Senate.,United States Senate,0.0008940696716308594,0.7348425388336182,0.9147611260414124,0.8571428571428571,0.8571428571428571
33,The X-Files.,X-Files,0.0008995532989501953,0.7305054664611816,0.8907632827758789,0.8,0.8
34,The Treaty of Versailles.,Versailles,0.0010008811950683594,0.7846012115478516,0.6756105422973633,0.4,0.4
35,1939,1939,0.0009121894836425781,0.6557650566101074,1.0,1.0,1.0
36,West Germany.,West Germany,0.0009834766387939453,0.6535346508026123,0.9686709642410278,1.0,1.0
37,Frank Miller.,Frank Miller,0.0009632110595703125,0.6459457874298096,0.9760807156562805,1.0,1.0
38,"The Comics Code Authority's revision in 1971 allowed Marvel to expand into more adult-themed genre stories, such as horror, martial arts, and science fiction.",the updating of the Comics Code,0.0009169578552246094,1.800877332687378,0.5742194056510925,0.1875,0.1875
39,Lisle.,Cotton lisle,0.000850677490234375,0.656334400177002,0.6205583810806274,0.6666666666666666,0.6666666666666666
40,Joe Simon.,Joe Simon,0.0008652210235595703,0.6478738784790039,0.9723016023635864,1.0,1.0
41,"Yes, the RICO Act is still used today for all organized crime and any individuals who might fall under the Act.",The RICO Act is still used,0.0009162425994873047,1.5275945663452148,0.8504828810691833,0.4444444444444445,0.4444444444444445
42,"Editor, managing editor, and business manager.",publisher,0.0010099411010742188,0.9117558002471924,0.44135159254074097,0.0,0.0
43,The Human Torch and the Sub-Mariner.,Spider-Man and the Fantastic Four,0.0009062290191650391,0.9093365669250488,0.1683160364627838,0.30769230769230765,0.30769230769230765
44,Preference-eligible veterans.,preference-eligible veterans,0.0009107589721679688,0.7227652072906494,0.9801581501960754,1.0,1.0
45,Children.,children,0.0010471343994140625,0.6180393695831299,0.9571406245231628,1.0,1.0
46,Britain also bought cotton from the Caribbean plantations.,Caribbean,0.0008809566497802734,0.9507443904876709,0.43318337202072144,0.2222222222222222,0.2222222222222222
47,Poland and the Soviet Union.,Poland and the Soviet Union,0.00096893310546875,0.7804534435272217,0.9595249891281128,1.0,1.0
48,The South Tower.,South Tower,0.0010297298431396484,0.6834578514099121,0.9349942207336426,0.8,0.8
49,Marvel ReEvolution.,Marvel ReEvolution,0.0010290145874023438,0.7474522590637207,0.9867786169052124,1.0,1.0
50,1773,31 January 1773,0.0008537769317626953,0.6493644714355469,0.7992103099822998,0.5,0.5
51,"The 1993 World Trade Center bombing, the 1995 Oklahoma City bombing, and the arrest of the Unabomber in 1996 prompted the FBI to increase its counter-terrorism role.",World Trade Center bombing,0.0009832382202148438,2.2132680416107178,0.6552403569221497,0.25,0.25
52,"The files revealed the FBI's extensive domestic surveillance and disruption of civil rights and anti-war organizations, including the assassinations of political activists.",investigations into lives of ordinary citizens,0.001028299331665039,1.6737914085388184,0.3605518043041229,0.06666666666666667,0.06666666666666667
