idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,The Mexican Drug War.,The Mexican Drug War,0.4823765754699707,2.4035658836364746,0.9888447523117064,1.0,1.0,"Which theater of the United States' War on Drugs inspired the film ""El Infierno""?",1
1,"Ridgeland, Mississippi.","24,047",0.2806227207183838,1.312467336654663,0.1304044872522354,0.0,0.0, WJMI (99.7 FM) is a radio station whose studios are located in a city with a population of what at the 2010 census?,0
2,War of the Worlds.,War of the Worlds,0.3279798030853271,1.1678788661956787,0.973034918308258,1.0,1.0,Which 2005 movie featured the lead from a 2007 movie based on a Swedish YA novel?,1
3,Jon Fratelli (born 1979) is younger than Max Cavalera (born 1969).,Jon Fratelli,0.3035802841186523,1.6491079330444336,0.6357103586196899,0.3076923076923077,0.3076923076923077,"Which of these musicians is Scottish, David Glen Eisley or Jon Fratelli?",0
4,1936,1936,0.3546333312988281,1.122375249862671,1.0000001192092896,1.0,1.0,The 1964 Mediterranean Grand Prix was won by a Swiss driver born in what year?,1
5,Pueblo Bonito.,Pueblo Bonito,0.2564902305603027,1.3375418186187744,0.9881494641304016,1.0,1.0,What is the largest and best-known great house in an area hosting the densest and most exceptional concentration of pueblos in the American Southwest?,1
6,"David Michôd directed Joel Edgerton's film ""The Rover"".",David Michôd,0.4164631366729736,1.935034990310669,0.5262974500656128,0.4615384615384615,0.4615384615384615,"An Australian actor and filmmaker had a film, based on a story he created, directed by who?",1
7,Frank L. Anderson and Barry Poltermann directed the film adaptation of Charles Nelson Reilly's life.,Frank L. Anderson and Barry Poltermann,0.4230866432189941,2.059295654296875,0.4872720837593078,0.5454545454545454,0.5454545454545454,"Which two men directed the film adaptation of an American actor, comedian, director, and drama teacher's life?",1
8,The John Lennon Peace Monument.,Peace & Harmony,0.2853734493255615,1.2769110202789309,0.4705301523208618,0.2857142857142857,0.2857142857142857,"The mother of Julian Lennon unveiled what monument in Liverpool, England? ",1
9,19th century.,19th century,0.365814208984375,1.2003533840179443,0.9663059115409852,1.0,1.0,"The Blue Lacy, official breed of Texas, and Chesapeake Bay Retriever, are both dog breeds developed during which century?",1
10,Drake Bell.,Drake Bell,0.3898591995239258,1.034057855606079,0.9802059531211852,1.0,1.0,"Which actor known for starring in Nickelodeon shows replaced Freddie Prinze Jr in the sequel to ""Shark Bait""?",1
11,The BMW X1.,BMW X1,0.2941172122955322,1.1808207035064695,0.9351106286048888,0.8,0.8,Which compact luxury crossover SUV is the new BMW X2 modeled after?,1
12,"Immingham Power Station, located in North Lincolnshire, England.","South Killingholme North Lincolnshire, England",0.2962114810943603,1.567863702774048,0.3730015158653259,0.4615384615384615,0.4615384615384615,Where is the power station located that provides Lindsey Oil Refinery with electricity for their fractionation processes?,1
