idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Chris Reeve Knives.,Victorinox AG,0.2616252899169922,3.2740516662597656,0.1104772165417671,0.0,0.0,BusyBox software has been compared to a mutli-tool pocket knife manufactured by what company?,0
1,Pumping Iron (1977) was made before My Generation (2000).,Pumping Iron,0.3003668785095215,0.8348102569580078,0.6954585909843445,0.3636363636363636,0.3636363636363636,"Which documentary is the oldest, Buy Bye Beauty or Pumping Iron?",0
2,"Carter Smith wrote the 2014 film ""Jamie Marks Is Dead"" which used EMA's song ""The Grey Ship"".",Frank Cottrell Boyce,0.5196542739868164,1.1625750064849854,0.0440375991165638,0.0,0.0,"Who wrote the movie in which the song ""Nirvana"" was used?",0
3,2000.,2000,0.3434746265411377,0.3880290985107422,0.9515540599822998,1.0,1.0,"Stags' Leap Winery in California, was purchased by Australian beer group with interests in brewing and soft drinks in what year?",1
4,"""The Office"".",The Office,0.3343188762664795,0.3896007537841797,0.8779075741767883,1.0,1.0,"Knucklehead is a film starring an actress born June 29, 1967 known for her role on NBC's show called what?",1
5,Jeremy Soule and James Hannigan.,Jeremy Soule and James Hannigan,0.3358900547027588,0.4276206493377685,0.9810969233512878,1.0,1.0,"Who wrote the music for the video games, which are based on the movies which Alexandre Desplat wrote the musical scores for?",1
6,Romance Writers of America RITA Award for Best Short Historical Romance.,Rita Clay Estrada,0.2871437072753906,0.64697265625,0.3973661363124847,0.1428571428571428,0.1428571428571428,Lorraine Heath is an author who received an award named for who?,0
7,Z GT two-seat coupes.,Nissan Z-car,0.4622609615325928,0.4297528266906738,0.71917724609375,0.25,0.25,The Nissan S30 was the first generation of this sports car manufactured since 1969?,0
8,Academy Award nomination for Best Adapted Screenplay.,Best Adapted Screenplay,0.2953755855560303,0.6040380001068115,0.8339592218399048,0.6,0.6,"Phyllis Nagy received what Award Nomination for her screenplay based on the 1952 romance novel ""The Price of Salt""?",1
9,Madrid.,the Madrid Motor Show,0.3002693653106689,0.3143339157104492,0.6076536178588867,0.4,0.4,Where was the  Citroën vehicle designed with influences from what is called a beach buggy in the United Kingdom presented?,1
10,The Iron Giant.,The Iron Giant,0.2953381538391113,0.3324570655822754,0.9808055758476256,1.0,1.0,Which 1999 American sci-fi comedy-drama was produced and directed by Brad Bird and edited by Darren T. Holmes?,1
11,Walt Disney,Walt Disney,0.4885106086730957,0.187640905380249,1.0000001192092896,1.0,1.0,Who produced The Shaggy D.A. and Tarzan?,1
12,Backstreet Boys.,"Orlando, Florida",0.2837116718292236,0.3863651752471924,0.1589344143867492,0.0,0.0,Welcome Home was written by a former member of a boy band - where was that band formed?,0
13,May 1.,1 May 1954,0.3174135684967041,0.3884482383728027,0.4222593307495117,0.8,0.4,Tetsu was conceived by a chef born on which day ?,1
14,Edie Adams.,Edie Adams,0.2508728504180908,0.3884031772613525,0.9855138659477234,1.0,1.0,"Under the Yum Yum Tree starred this actress who was born in April, 1927?",1
15,Ron Underwood.,Ron Underwood,0.573134183883667,0.3905086517333984,0.9743516445159912,1.0,1.0,Who directed the film in which Ariana Richards played the character Mindy Sterngood?,1
