idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Charlie,Charlie,0.3378758430480957,29.025947093963623,1.0,1.0,1.0,"In the series of children's books written and drawn by Ian Whybrow and Adrian Reynolds, who is the best friend of the character voiced by Emma Tate?",1
1, Literature,Literature,0.372617244720459,29.18582415580749,1.0000001192092896,1.0,1.0,"For which academic field is Lionel Trilling, one of the leading US critics of the 20th century best known, and for which Rudolf Christoph Eucken received the 1908 Nobel Prize?",1
2, Netherlands,Netherlands,0.3582954406738281,29.103633880615234,1.0,1.0,1.0, Jacques van den Broek is the CEO of a firm headquartered in what country?,1
3, Gioachino Rossini,39,0.4641597270965576,30.146456718444824,0.1124221831560134,0.0,0.0,How many Grand Slam titles were won by the defending champion of the 1981 US Open - Women's Doubles?  ,0
4, Mauser,German,0.3490827083587646,29.418712854385376,0.1834466308355331,0.0,0.0,Der Schwanendreher was a concerto by the composer of what nationality?,0
5, MIT Sloan School of Management,"Cambridge, Massachusetts",0.3769605159759521,30.010490655899048,0.3726892173290252,0.0,0.0,What city is the university that Charles Fried is a professor at located in?,0
6, 1894,1907,0.3532860279083252,29.554667234420776,0.5868019461631775,0.0,0.0,The person that the Lindsey Islands were named for was born in what year?,0
7, Fatsia,Fatsia,0.4051578044891357,29.5401713848114,1.0000001192092896,1.0,1.0,Which of the following is native to Japan and Taiwan: Lopezia or Fatsia?,1
8, He played as a Goalkeeper for Zamalek.,Goalkeeper,0.3712849617004394,31.499971389770508,0.6386152505874634,0.25,0.25,What was the position of Yehia Emam in the Alexandria games?,1
9, United States.,United States,0.3914461135864258,29.67461609840393,0.9286460876464844,1.0,1.0,Where is the owner of Next big sound provides analytics for online music available?,1
10, George Schnell,George Schnell,0.3785262107849121,29.6552255153656,1.0,1.0,1.0,"Schnell Brewery (1864–1872), owned by who, was located in the Dupont Circle neighborhood, the Schnell brewery produced Weißbier, a wheat beer, in small quantities during its operation, a wheat beer,  usually top-fermented, which is brewed with a large proportion of wheat relative to the amount of malted barley?",1
11, Rosalind,Rosalind,0.3729555606842041,29.72211527824402,1.0,1.0,1.0,"William Shakespeare's As You Like It, was later written for film in which Bryce D. Howard played which protagonist character? ",1
12, Mothercare,Mothercare,0.3838531970977783,29.271907806396484,1.0,1.0,1.0,Which FTSE-listed British retail chain was founded by Selim Zilkha?,1
13, No Small Affair,Olive Neal,0.3637030124664306,29.78830480575561,0.1403815597295761,0.0,0.0,For which role was actress who made her debut in the film  No Small Affair nominated for an Academy Award ? ,0
14, American,American,0.3670530319213867,29.128777503967285,1.0,1.0,1.0,Kerry Remsen is the daughter of an actor with what ethnicity?,1
15, Georgy Voronoy was born first.,Georgy Feodosevich Voronoy,0.3762464523315429,31.14935731887817,0.6802358627319336,0.5,0.5,"Which mathematician defined the Voronoi diagram, Mikhail Kravchuk or Georgy Voronoy?",0
16, Guinness World Records,Guinness Book of World Records,0.3770833015441894,29.763893127441406,0.930853009223938,0.7499999999999999,0.7499999999999999," ""Mandrake Root"" is a song by the globe's loudest band as listed in what book from 1975?",1
17, The Legend of Korra,"""The Legend of Korra""",0.4039287567138672,30.072465181350708,0.95561283826828,1.0,1.0,What Nickelodeon animated television series features Tenzin and Aang?,1
